Time(ms),RPM,TPS(%),Coolant(C),MAP(mBar),VBAT(V),Gear,Lambda1,CRC32
2480,1800,-1.00,-0.1,-1.0,14.17,-1,1.002,5
2500,1800,-1.00,-0.1,-1.0,14.10,-1,1.002,11
2520,1800,-1.00,-0.1,-1.0,14.16,-1,1.002,15
2540,-1,-1.00,-1.0,-1.0,-1.00,-1,-1.000,45
2560,1800,-1.00,-1.0,-1.0,14.13,-1,1.002,14
2580,1800,-1.00,-1.0,-1.0,14.17,-1,1.002,4
2600,1800,-1.00,-0.9,-1.0,14.19,-1,1.002,9
2620,1800,-1.00,-0.9,-1.0,14.18,-1,1.002,10
2640,1800,-1.00,-0.9,-1.0,14.13,-1,1.002,7
2660,1800,-1.00,-0.9,-1.0,14.11,-1,1.002,7
2680,1800,-1.00,-0.9,-1.0,14.14,-1,1.002,12
2700,1800,-1.00,-0.9,-1.0,14.13,-1,1.002,2
2720,1800,-1.00,-0.8,-1.0,14.17,-1,1.002,5
2740,1800,-1.00,-0.8,-1.0,14.16,-1,1.002,2
2760,1800,-1.00,-0.8,-1.0,14.13,-1,1.002,5
2780,1800,-1.00,-0.8,-1.0,14.10,-1,1.002,8
2800,1800,-1.00,-0.8,-1.0,14.16,-1,1.002,9
2820,1800,-1.00,-0.7,-1.0,14.19,-1,1.002,11
2840,1800,-1.00,-0.7,-1.0,14.12,-1,1.002,6
2860,1800,-1.00,-0.7,-1.0,14.13,-1,1.002,5
2880,1800,-1.00,-0.7,-1.0,14.16,-1,1.002,14
2900,1800,-1.00,-0.7,-1.0,14.19,-1,1.002,8
2920,1800,-1.00,-0.7,-1.0,14.14,-1,1.002,7
2940,1800,-1.00,-0.6,-1.0,14.14,-1,1.002,0
2960,1800,-1.00,-0.6,-1.0,14.19,-1,1.002,15
2980,1800,-1.00,-0.6,-1.0,14.12,-1,1.002,10
3000,-1,-1.00,-1.0,-1.0,-1.00,-1,-1.000,45
3020,1800,-1.00,-1.0,-1.0,14.13,-1,1.002,14
3040,1800,-1.00,-1.0,-1.0,14.17,-1,1.002,12
3060,1800,-1.00,-0.9,-1.0,14.11,-1,1.002,0
3080,1800,-1.00,-0.9,-1.0,14.17,-1,1.002,8
3100,1800,-1.00,-0.9,-1.0,14.19,-1,1.002,15
3120,1800,-1.00,-0.9,-1.0,14.18,-1,1.002,12
3140,1800,-1.00,-0.9,-1.0,14.12,-1,1.002,0
3160,1800,-1.00,-0.9,-1.0,14.20,-1,1.002,3
3180,1800,-1.00,-0.8,-1.0,14.16,-1,1.002,9
3200,1800,-1.00,-0.8,-1.0,14.12,-1,1.002,6
3220,1800,-1.00,-0.8,-1.0,14.19,-1,1.002,15
3240,1800,-1.00,-0.8,-1.0,14.11,-1,1.002,1
3260,1800,-1.00,-0.8,-1.0,14.17,-1,1.002,5
3280,1800,-1.00,-0.7,-1.0,14.19,-1,1.002,10
3300,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,15
3320,1800,-1.00,-0.7,-1.0,14.14,-1,1.002,12
3340,1800,-1.00,-0.7,-1.0,14.11,-1,1.002,15
3360,1800,-1.00,-0.7,-1.0,14.14,-1,1.002,8
3380,1800,-1.00,-0.7,-1.0,14.18,-1,1.002,10
3400,1800,-1.00,-0.6,-1.0,14.11,-1,1.002,13
3420,1800,-1.00,-0.6,-1.0,14.14,-1,1.002,10
3440,1800,-1.00,-0.6,-1.0,14.12,-1,1.002,10
3460,1800,-1.00,-0.6,-1.0,14.17,-1,1.002,13
3480,1800,-1.00,-0.6,-1.0,14.13,-1,1.002,7
3500,1800,-1.00,-0.5,-1.0,14.14,-1,1.002,10
3520,1800,-1.00,-0.5,-1.0,14.11,-1,1.002,13
3540,1800,-1.00,-0.5,-1.0,14.18,-1,1.002,2
3560,1800,-1.00,-0.5,-1.0,14.17,-1,1.002,15
3580,1800,-1.00,-0.5,-1.0,14.13,-1,1.002,5
3600,1800,-1.00,-0.5,-1.0,14.18,-1,1.002,5
3620,1800,-1.00,-0.4,-1.0,14.17,-1,1.002,9
3640,1800,-1.00,-0.4,-1.0,14.17,-1,1.002,15
3660,1800,-1.00,-0.4,-1.0,14.20,-1,1.002,9
3680,1800,-1.00,-0.4,-1.0,14.15,-1,1.002,1
3700,1800,-1.00,-0.4,-1.0,14.11,-1,1.002,12
3720,1800,-1.00,-0.4,-1.0,14.16,-1,1.002,9
3740,1800,-1.00,-0.3,-1.0,14.16,-1,1.002,8
3760,1800,-1.00,-0.3,-1.0,14.13,-1,1.002,15
3780,1800,-1.00,-0.3,-1.0,14.20,-1,1.002,1
3800,1800,-1.00,-0.3,-1.0,14.12,-1,1.002,7
3820,1800,-1.00,-0.3,-1.0,14.17,-1,1.002,0
3840,1800,-1.00,-0.2,-1.0,14.11,-1,1.002,1
3860,1800,-1.00,-0.2,-1.0,14.13,-1,1.002,1
3880,1800,-1.00,-0.2,-1.0,14.14,-1,1.002,8
3900,1800,-1.00,-0.2,-1.0,14.14,-1,1.002,1
3920,1800,-1.00,-0.2,-1.0,14.17,-1,1.002,0
3940,1800,-1.00,-0.2,-1.0,14.15,-1,1.002,4
3960,1800,-1.00,-0.1,-1.0,14.11,-1,1.002,1
3980,1800,-1.00,-0.1,-1.0,14.11,-1,1.002,15
4000,1800,-1.00,-0.1,-1.0,14.13,-1,1.002,11
4020,1800,-1.00,-0.1,-1.0,14.15,-1,1.002,15
4040,1800,-1.00,-0.1,-1.0,14.14,-1,1.002,8
4060,1800,-1.00,-0.0,-1.0,14.19,-1,1.002,6
4080,1800,-1.00,-0.0,-1.0,14.14,-1,1.002,5
4100,1800,-1.00,-0.0,-1.0,14.15,-1,1.002,13
4120,1800,-1.00,0.0,-1.0,14.18,-1,1.002,47
4140,1800,-1.00,0.0,-1.0,14.16,-1,1.002,39
4160,1800,-1.00,0.0,-1.0,14.11,-1,1.002,34
4180,1800,-1.00,0.1,-1.0,14.15,-1,1.002,41
4200,1800,-1.00,0.1,-1.0,14.20,-1,1.002,36
4220,1800,-1.00,0.1,-1.0,14.10,-1,1.002,37
4240,1800,-1.00,0.1,-1.0,14.16,-1,1.002,37
4260,1800,-1.00,0.1,-1.0,14.18,-1,1.002,41
4280,1800,-1.00,0.2,-1.0,14.18,-1,1.002,36
4300,1800,-1.00,0.2,-1.0,14.17,-1,1.002,34
4320,1800,-1.00,0.2,-1.0,14.14,-1,1.002,35
4340,1800,-1.00,0.2,-1.0,14.13,-1,1.002,34
4360,1800,-1.00,0.2,-1.0,14.16,-1,1.002,37
4380,1800,-1.00,0.2,-1.0,14.11,-1,1.002,44
4400,1800,-1.00,0.3,-1.0,14.18,-1,1.002,43
4420,1800,-1.00,0.3,-1.0,14.11,-1,1.002,32
4440,1800,-1.00,0.3,-1.0,14.19,-1,1.002,46
4460,1800,-1.00,0.3,-1.0,14.16,-1,1.002,35
4480,1800,-1.00,0.3,-1.0,14.11,-1,1.002,42
4500,1800,-1.00,0.4,-1.0,14.15,-1,1.002,32
4520,1800,-1.00,0.4,-1.0,14.13,-1,1.002,36
4540,1800,-1.00,0.4,-1.0,14.19,-1,1.002,40
4560,1800,-1.00,0.4,-1.0,14.12,-1,1.002,33
4580,1800,-1.00,0.4,-1.0,14.20,-1,1.002,46
4600,1800,-1.00,0.4,-1.0,14.17,-1,1.002,33
4620,1800,-1.00,0.5,-1.0,14.19,-1,1.002,44
4640,1800,-1.00,0.5,-1.0,14.15,-1,1.002,38
4660,1800,-1.00,0.5,-1.0,14.14,-1,1.002,37
4680,1800,-1.00,0.5,-1.0,14.12,-1,1.002,45
4700,1800,-1.00,0.5,-1.0,14.13,-1,1.002,37
4720,1800,-1.00,0.5,-1.0,14.19,-1,1.002,45
4740,1800,-1.00,0.6,-1.0,14.11,-1,1.002,32
4760,1800,-1.00,0.6,-1.0,14.12,-1,1.002,33
4780,1800,-1.00,0.6,-1.0,14.13,-1,1.002,46
4800,1800,-1.00,0.6,-1.0,14.17,-1,1.002,45
4820,1800,-1.00,0.6,-1.0,14.15,-1,1.002,45
4840,1800,-1.00,0.7,-1.0,14.16,-1,1.002,41
4860,1800,-1.00,0.7,-1.0,14.14,-1,1.002,41
4880,1800,-1.00,0.7,-1.0,14.19,-1,1.002,42
4900,1800,-1.00,0.7,-1.0,14.12,-1,1.002,40
4920,1800,-1.00,0.7,-1.0,14.11,-1,1.002,41
4940,1800,-1.00,0.7,-1.0,14.10,-1,1.002,46
4960,1800,-1.00,0.8,-1.0,14.12,-1,1.002,33
4980,1800,-1.00,0.8,-1.0,14.16,-1,1.002,43
5000,1800,-1.00,0.8,-1.0,14.13,-1,1.002,46
5020,1800,-1.00,0.8,-1.0,14.20,-1,1.002,44
5040,1800,-1.00,0.8,-1.0,14.12,-1,1.002,43
5060,1800,-1.00,0.9,-1.0,14.17,-1,1.002,45
5080,1800,-1.00,0.9,-1.0,14.18,-1,1.002,44
5100,1800,-1.00,0.9,-1.0,14.17,-1,1.002,42
5120,1800,-1.00,0.9,-1.0,14.17,-1,1.002,40
5140,1800,-1.00,0.9,-1.0,14.14,-1,1.002,45
5160,1800,-1.00,0.9,-1.0,14.18,-1,1.002,35
5180,1800,-1.00,1.0,-1.0,14.16,-1,1.002,43
5200,1800,-1.00,1.0,-1.0,14.17,-1,1.002,33
5220,1800,-1.00,1.0,-1.0,14.16,-1,1.002,34
5240,1800,-1.00,1.0,-1.0,14.18,-1,1.002,42
5260,1800,-1.00,1.0,-1.0,14.20,-1,1.002,35
5280,1800,-1.00,1.1,-1.0,14.10,-1,1.002,47
5300,1800,-1.00,1.1,-1.0,14.20,-1,1.002,37
5320,1800,-1.00,1.1,-1.0,14.12,-1,1.002,38
5340,1800,-1.00,1.1,-1.0,14.17,-1,1.002,37
5360,1800,-1.00,1.1,-1.0,14.16,-1,1.002,38
5380,1800,-1.00,1.1,-1.0,14.10,-1,1.002,46
5400,1800,-1.00,1.2,-1.0,14.12,-1,1.002,32
5420,1800,-1.00,1.2,-1.0,14.18,-1,1.002,40
5440,1800,-1.00,1.2,-1.0,14.13,-1,1.002,37
5460,1800,-1.00,1.2,-1.0,14.18,-1,1.002,44
5480,1800,-1.00,1.2,-1.0,14.10,-1,1.002,42
5500,1800,-1.00,1.3,-1.0,14.19,-1,1.002,43
5520,1800,-1.00,1.3,-1.0,14.11,-1,1.002,33
5540,1800,-1.00,1.3,-1.0,14.13,-1,1.002,37
5560,1800,-1.00,1.3,-1.0,14.19,-1,1.002,45
5580,1800,-1.00,1.3,-1.0,14.17,-1,1.002,45
5600,1800,-1.00,1.3,-1.0,14.11,-1,1.002,32
5620,1800,-1.00,1.4,-1.0,14.11,-1,1.002,37
5640,1800,-1.00,1.4,-1.0,14.17,-1,1.002,37
5660,1800,-1.00,1.4,-1.0,14.15,-1,1.002,37
5680,1800,-1.00,1.4,-1.0,14.18,-1,1.002,38
5700,1800,-1.00,1.4,-1.0,14.12,-1,1.002,37
5720,1800,-1.00,1.4,-1.0,14.18,-1,1.002,45
5740,1800,-1.00,1.5,-1.0,14.14,-1,1.002,38
5760,1800,-1.00,1.5,-1.0,14.17,-1,1.002,39
5780,1800,-1.00,1.5,-1.0,14.12,-1,1.002,44
5800,1800,-1.00,1.5,-1.0,14.14,-1,1.002,45
5820,1800,-1.00,1.5,-1.0,14.19,-1,1.002,34
5840,1800,-1.00,1.6,-1.0,14.14,-1,1.002,42
5860,1800,-1.00,1.6,-1.0,14.17,-1,1.002,43
5880,1800,-1.00,1.6,-1.0,14.12,-1,1.002,32
5900,1800,-1.00,1.6,-1.0,14.18,-1,1.002,35
5920,1800,-1.00,1.6,-1.0,14.13,-1,1.002,42
5940,1800,-1.00,1.6,-1.0,14.11,-1,1.002,46
5960,1800,-1.00,1.7,-1.0,14.17,-1,1.002,43
5980,1800,-1.00,1.7,-1.0,14.19,-1,1.002,43
6000,1800,-1.00,1.7,-1.0,14.13,-1,1.002,35
6020,1800,-1.00,1.7,-1.0,14.19,-1,1.002,43
6040,1800,-1.00,1.7,-1.0,14.13,-1,1.002,39
6060,1800,-1.00,1.8,-1.0,14.17,-1,1.002,46
6080,1800,-1.00,1.8,-1.0,14.17,-1,1.002,32
6100,1800,-1.00,1.8,-1.0,14.13,-1,1.002,45
6120,1800,-1.00,1.8,-1.0,14.13,-1,1.002,47
6140,1800,-1.00,1.8,-1.0,14.16,-1,1.002,44
6160,1800,-1.00,1.8,-1.0,14.19,-1,1.002,33
6180,1800,-1.00,1.9,-1.0,14.13,-1,1.002,36
6200,1800,-1.00,1.9,-1.0,14.14,-1,1.002,40
6220,1800,-1.00,1.9,-1.0,14.20,-1,1.002,45
6240,1800,-1.00,1.9,-1.0,14.17,-1,1.002,47
6260,1800,-1.00,1.9,-1.0,14.10,-1,1.002,42
6280,1800,-1.00,2.0,-1.0,14.16,-1,1.002,40
6300,1800,-1.00,2.0,-1.0,14.11,-1,1.002,38
6320,1800,-1.00,2.0,-1.0,14.11,-1,1.002,36
6340,1800,-1.00,2.0,-1.0,14.13,-1,1.002,32
6360,1800,-1.00,2.0,-1.0,14.10,-1,1.002,33
6380,1800,-1.00,2.0,-1.0,14.18,-1,1.002,39
6400,1800,-1.00,2.1,-1.0,14.15,-1,1.002,36
6420,1800,-1.00,2.1,-1.0,14.18,-1,1.002,43
6440,1800,-1.00,2.1,-1.0,14.18,-1,1.002,45
6460,1800,-1.00,2.1,-1.0,14.16,-1,1.002,33
6480,1800,-1.00,2.1,-1.0,14.12,-1,1.002,43
6500,1800,-1.00,2.2,-1.0,14.16,-1,1.002,37
6520,1800,-1.00,2.2,-1.0,14.17,-1,1.002,38
6540,1800,-1.00,2.2,-1.0,14.16,-1,1.002,33
6560,1800,-1.00,2.2,-1.0,14.14,-1,1.002,33
6580,1800,-1.00,2.2,-1.0,14.17,-1,1.002,44
6600,1800,-1.00,2.2,-1.0,14.14,-1,1.002,36
6620,1800,-1.00,2.3,-1.0,14.19,-1,1.002,42
6640,1800,-1.00,2.3,-1.0,14.17,-1,1.002,34
6660,1800,-1.00,2.3,-1.0,14.10,-1,1.002,39
6680,1800,-1.00,2.3,-1.0,14.18,-1,1.002,33
6700,1800,-1.00,2.3,-1.0,14.14,-1,1.002,36
6720,1800,-1.00,2.3,-1.0,14.15,-1,1.002,39
6740,1800,-1.00,2.4,-1.0,14.19,-1,1.002,42
6760,1800,-1.00,2.4,-1.0,14.17,-1,1.002,38
6780,1800,-1.00,2.4,-1.0,14.10,-1,1.002,47
6800,1800,-1.00,2.4,-1.0,14.13,-1,1.002,43
6820,1800,-1.00,2.4,-1.0,14.14,-1,1.002,46
6840,1800,-1.00,2.5,-1.0,14.18,-1,1.002,37
6860,1800,-1.00,2.5,-1.0,14.18,-1,1.002,39
6880,1800,-1.00,2.5,-1.0,14.12,-1,1.002,35
6900,1800,-1.00,2.5,-1.0,14.13,-1,1.002,43
6920,1800,-1.00,2.5,-1.0,14.16,-1,1.002,44
6940,1800,-1.00,2.5,-1.0,14.18,-1,1.002,36
6960,1800,-1.00,2.6,-1.0,14.16,-1,1.002,43
6980,1800,-1.00,2.6,-1.0,14.15,-1,1.002,38
7000,1800,-1.00,2.6,-1.0,14.13,-1,1.002,32
7020,1800,-1.00,2.6,-1.0,14.18,-1,1.002,41
7040,1800,-1.00,2.6,-1.0,14.19,-1,1.002,46
7060,1800,-1.00,2.7,-1.0,14.15,-1,1.002,33
7080,1800,-1.00,2.7,-1.0,14.15,-1,1.002,47
7100,1800,-1.00,2.7,-1.0,14.18,-1,1.002,43
7120,1800,-1.00,2.7,-1.0,14.20,-1,1.002,34
7140,1800,-1.00,2.7,-1.0,14.19,-1,1.002,46
7160,-1,-1.00,-1.0,-1.0,-1.00,-1,-1.000,46
7180,1800,-1.00,-1.0,-1.0,14.17,-1,1.002,5
7200,1800,-1.00,-1.0,-1.0,14.14,-1,1.002,13
7220,1800,-1.00,-0.9,-1.0,14.12,-1,1.002,1
7240,1800,-1.00,-0.9,-1.0,14.19,-1,1.002,12
7260,1800,-1.00,-0.9,-1.0,14.19,-1,1.002,14
7280,1800,-1.00,-0.9,-1.0,14.15,-1,1.002,12
7300,1800,-1.00,-0.9,-1.0,14.14,-1,1.002,4
7320,1800,-1.00,-0.9,-1.0,14.16,-1,1.002,4
7340,1800,-1.00,-0.8,-1.0,14.17,-1,1.002,2
7360,1800,-1.00,-0.8,-1.0,14.19,-1,1.002,14
7380,1800,-1.00,-0.8,-1.0,14.11,-1,1.002,8
7400,1800,-1.00,-0.8,-1.0,14.13,-1,1.002,5
7420,1800,-1.00,-0.8,-1.0,14.16,-1,1.002,2
7440,1800,-1.00,-0.7,-1.0,14.12,-1,1.002,15
7460,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,10
7480,1800,-1.00,-0.7,-1.0,14.12,-1,1.002,3
7500,1800,-1.00,-0.7,-1.0,14.17,-1,1.002,15
7520,1800,-1.00,-0.7,-1.0,14.15,-1,1.002,15
7540,1800,-1.00,-0.7,-1.0,14.10,-1,1.002,12
7560,1800,-1.00,-0.6,-1.0,14.12,-1,1.002,13
7580,1800,-1.00,-0.6,-1.0,14.18,-1,1.002,9
7600,1800,-1.00,-0.6,-1.0,14.13,-1,1.002,9
7620,1800,-1.00,-0.6,-1.0,14.14,-1,1.002,12
7640,1800,-1.00,-0.6,-1.0,14.17,-1,1.002,9
7660,1800,-1.00,-0.5,-1.0,14.12,-1,1.002,13
7680,1800,-1.00,-0.5,-1.0,14.15,-1,1.002,4
7700,1800,-1.00,-0.5,-1.0,14.12,-1,1.002,10
7720,1800,-1.00,-0.5,-1.0,14.12,-1,1.002,8
7740,1800,-1.00,-0.5,-1.0,14.16,-1,1.002,10
7760,1800,-1.00,-0.5,-1.0,14.16,-1,1.002,8
7780,1800,-1.00,-0.4,-1.0,14.17,-1,1.002,6
7800,1800,-1.00,-0.4,-1.0,14.17,-1,1.002,1
7820,1800,-1.00,-0.4,-1.0,14.12,-1,1.002,6
7840,1800,-1.00,-0.4,-1.0,14.12,-1,1.002,0
7860,1800,-1.00,-0.4,-1.0,14.18,-1,1.002,8
7880,1800,-1.00,-0.4,-1.0,14.19,-1,1.002,7
7900,1800,-1.00,-0.3,-1.0,14.14,-1,1.002,4
7920,1800,-1.00,-0.3,-1.0,14.17,-1,1.002,5
7940,1800,-1.00,-0.3,-1.0,14.17,-1,1.002,3
7960,1800,-1.00,-0.3,-1.0,14.16,-1,1.002,0
7980,1800,-1.00,-0.3,-1.0,14.10,-1,1.002,8
8000,1800,-1.00,-0.2,-1.0,14.11,-1,1.002,6
8020,1800,-1.00,-0.2,-1.0,14.11,-1,1.002,4
8040,1800,-1.00,-0.2,-1.0,14.16,-1,1.002,5
8060,1800,-1.00,-0.2,-1.0,14.20,-1,1.002,2
8080,1800,-1.00,-0.2,-1.0,14.17,-1,1.002,8
8100,1800,-1.00,-0.2,-1.0,14.19,-1,1.002,15
8120,1800,-1.00,-0.1,-1.0,14.19,-1,1.002,14
8140,1800,-1.00,-0.1,-1.0,14.16,-1,1.002,7
8160,1800,-1.00,-0.1,-1.0,14.16,-1,1.002,5
8180,1800,-1.00,-0.1,-1.0,14.17,-1,1.002,10
8200,1800,-1.00,-0.1,-1.0,14.20,-1,1.002,5
8220,1800,-1.00,-0.0,-1.0,14.11,-1,1.002,4
8240,1800,-1.00,-0.0,-1.0,14.10,-1,1.002,3
8260,1800,-1.00,-0.0,-1.0,14.16,-1,1.002,7
8280,1800,-1.00,0.0,-1.0,14.16,-1,1.002,36
8300,1800,-1.00,0.0,-1.0,14.11,-1,1.002,42
8320,1800,-1.00,0.0,-1.0,14.10,-1,1.002,41
8340,1800,-1.00,0.1,-1.0,14.14,-1,1.002,42
8360,1800,-1.00,0.1,-1.0,14.19,-1,1.002,37
8380,1800,-1.00,0.1,-1.0,14.18,-1,1.002,42
8400,1800,-1.00,0.1,-1.0,14.12,-1,1.002,47
8420,1800,-1.00,0.1,-1.0,14.20,-1,1.002,44
